LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
1000284003,FANTASTIC SAMS,PLANO,TX,75093,NEWTEK SMALL BUS. FINANCE INC.,NY,0,2/28/1997,1997,84,12,2,0,0,19755,0,N,Y,,5/31/1997,57500,P I F,0,57500,46000
1000294006,SIR GOONY'S GOLF,KNOXVILLE,TN,37922,CITIZENS NATIONAL BANK,TN,0,2/28/1997,1997,120,4,2,0,0,1,0,N,Y,,5/31/1998,50000,P I F,0,50000,40000
1000324002,ECONOLODGE OF DUMAS,DUMAS,TX,79029,"BUSINESS LOAN CENTER, LLC",SC,0,2/28/1997,1997,300,12,2,0,0,1,0,N,N,,4/30/1997,615000,P I F,0,615000,461250
1000344008,"YOUNG ACHIEVERS PRESCHOOL, INC",CORAL SPRINGS,FL,33065,BANESCO USA,FL,624410,2/28/1997,1997,87,2,1,0,0,1,0,N,N,,8/31/1997,70000,P I F,0,70000,56000
1000394001,NICOLES RESTAURANT,JOHNSTON,RI,2919,BANK OF AMERICA NATL ASSOC,RI,0,2/28/1997,1997,114,6,1,0,0,1,0,N,N,,3/31/1998,75000,P I F,0,75000,56250
1000434000,"TRIANGLE MACHINE & MFG., INC.",EULESS,TX,76040,"FIRST BANK TEXAS, SSB",TX,0,2/28/1997,1997,144,90,1,0,0,1,0,N,N,,4/30/1997,1250000,P I F,0,1250000,937500
1000446006,SUBWAY,LITTLE ROCK,AR,72223,HOPE FCU,MS,722211,2/7/2006,2006,126,7,1,0,0,1,1,N,N,,4/30/2006,137300,P I F,0,137300,116705
1000474001,DEE'S CORNER BAIT & TACKLE,SAINT PETER,MN,56082,WELLS FARGO BANK NATL ASSOC,MN,451110,2/28/1997,1997,60,2,1,0,0,1,0,N,N,,4/30/1997,39500,P I F,0,39500,29625
1000484004,"C & S TRANSIT, INC.",INDEPENDENCE,MO,64055,BANK OF AMERICA NATL ASSOC,NC,0,2/28/1997,1997,60,2,2,0,0,1,0,0,N,,5/31/1998,50000,P I F,0,50000,25000
1000504008,HUNTERSBROOK STABLE,MARSHFIELD,MA,2050,ROCKLAND TRUST COMPANY,MA,0,2/28/1997,1997,240,3,1,0,0,1,0,N,Y,,7/31/1997,75000,P I F,0,75000,60000
1000506000,WEYLAND CORPORATION,CAMARILLO,CA,93010,WELLS FARGO BANK NATL ASSOC,SD,611110,2/7/2006,2006,83,18,2,5,23,1,1,Y,N,,2/28/2006,438541,P I F,0,100000,50000
1000514000,"SCROOGE'S SPIRIT, INC.",ANDERSON,SC,29621,CERTIFIED DEVEL CORP OF SO. CA,SC,445310,2/28/1997,1997,240,1,2,5,0,1,0,N,N,,1/14/1998,291000,P I F,0,291000,291000
1000516003,CHICAGO BRICK UNLIMITED INC,MIAMI,FL,33186,"CITIBANK, N.A.",FL,238140,2/7/2006,2006,84,4,1,0,4,1,1,Y,N,,2/28/2006,51440,P I F,0,35000,17500
1000524003,AUDELIA FAMILY DENTAL GROUP,DALLAS,TX,75243,THE FROST NATIONAL BANK,TX,621210,2/28/1997,1997,102,12,1,0,0,1,0,N,N,,7/31/1997,600000,P I F,0,600000,450000
1000526006,"RZI, INC.",NEW ORLEANS,LA,70130,BUSINESS RES. CAP. SPECIALTY B,LA,532490,2/7/2006,2006,60,3,1,0,0,1,1,N,N,,5/31/2006,50000,P I F,0,50000,42500
1000534006,PPP COMMUNICATIONS,WASHINGTON,IA,52353,WASHINGTON STATE BANK,IA,454210,2/28/1997,1997,84,2,2,0,0,1,0,N,N,,10/31/1997,30000,P I F,0,30000,22500
1000536009,HUTMACHER HOLDINGS INC,LEANDER,TX,78641,WELLS FARGO BANK NATL ASSOC,SD,541611,2/7/2006,2006,80,2,1,4,6,1,2,Y,N,,5/31/2006,63076,P I F,0,25000,12500
1000544009,PRESTIGE LIMOUSINE SERVICE,ROANOKE,VA,24015,FIRST COMMUNITY BANK,VA,0,2/28/1997,1997,84,2,1,0,0,1,0,N,Y,,3/14/1997,60000,P I F,0,60000,48000
1000554001,PAUL E. & JUDY A. FAATZ,KINSMAN,OH,44428,CORTLAND SAVINGS & BK. CO.,OH,0,2/28/1997,1997,137,2,1,0,0,1,0,N,Y,18-Apr-02,6/30/1997,47000,CHGOFF,14084,47000,37600
1000574007,VILLAGE REST HOME,NORTH EASTON,MA,2356,HOME LOAN INVEST BANK F.S.B.,RI,0,2/28/1997,1997,84,9,1,0,0,1,0,N,Y,,5/31/1997,70000,P I F,0,70000,56000
1000576010,CORBIN CREEK GREENHOUSE,SPRINGFIELD,TN,37172,BBCN BANK,CA,453110,2/7/2006,2006,84,4,1,1,4,1,1,0,N,,2/28/2006,20000,P I F,0,20000,17000
1000584010,JFJ PROCESSORS,LEWISBURG,TN,37091,FIRST FARMERS & MERCHANTS BK,TN,311611,2/28/1997,1997,180,7,1,0,0,1,0,0,N,,4/30/1997,245000,P I F,0,245000,183750
1000594002,"M.A.S. TRUCKING, INC.",SPRINGFIELD,IL,62702,"PNC BANK, NATIONAL ASSOCIATION",IL,0,2/28/1997,1997,84,3,1,0,0,1,0,0,N,,5/31/1997,225000,P I F,0,225000,168750
1000624009,OLD LOUISVILLE INN,LOUISVILLE,KY,40208,"PNC BANK, NATIONAL ASSOCIATION",KY,0,2/28/1997,1997,126,5,1,0,0,1,0,0,N,,5/31/1997,40000,P I F,0,40000,30000
1000634001,IRON HORSE FABRICATIONS,LELAND,MS,38756,STATE BANK & TRUST COMPANY,MS,332996,2/28/1997,1997,120,2,2,0,0,1,0,N,Y,,6/30/1997,100000,P I F,0,100000,80000
1000653000,LARRY SCHOETTMER FORD INC,EDINBURGH,IN,46124,JPMORGAN CHASE BANK NATL ASSOC,IN,0,6/11/1980,1980,120,16,2,0,0,0,0,Y,N,4-Oct-89,7/31/1980,197485,CHGOFF,44374,200000,150000
1000655003,Sun Service Center,Newburgh,NY,12550,WELLS FARGO BANK NATL ASSOC,SD,0,10/4/1996,1997,84,3,1,0,0,1,0,0,N,,7/31/1997,25000,P I F,0,25000,12500
1000665006,"Dover Quality Foods, Inc.",Dover (census name for Dover C,MA,2030,BANK OF AMERICA NATL ASSOC,MA,0,3/25/1997,1997,12,20,1,0,0,1,0,0,N,,9/30/1997,100000,P I F,0,100000,50000
1000674002,SNADER EXCAVATING AND TRUCKING,SMITHVILLE,OH,44677,FIRST NATIONAL BANK,OH,235930,2/28/1997,1997,84,1,1,0,0,1,0,N,Y,,3/31/1997,71000,P I F,0,71000,56800
1000675009,RAYMIES GROCERIES INC.,Chicago,IL,60628,WELLS FARGO BANK NATL ASSOC,SD,0,3/25/1997,1997,84,4,1,0,0,1,0,0,N,,7/31/1999,25000,P I F,0,25000,12500
1000685001,ANYWHERE SPORTS PRODUCTIONS,Marina del Ray,CA,90292,WELLS FARGO BANK NATL ASSOC,SD,0,3/25/1997,1997,84,6,1,0,0,1,0,Y,N,,10/31/1997,30570,P I F,0,25000,12500
1000686008,SIMCO PRE-OWNED AUTO BROKERS,WINSOR MILL,MD,21244,BBCN BANK,CA,441120,2/7/2006,2006,84,1,2,0,1,1,1,0,N,,2/28/2006,10000,P I F,0,10000,8500
1000694008,"SPOTSYLVANIA TOTAL HEALTH, INC",SPOTSYLVANIA,VA,22553,UNION FIRST MARKET BANK,VA,621310,2/28/1997,1997,60,7,2,0,0,1,0,N,Y,,3/5/1997,35000,P I F,0,35000,28000
1000695004,Karl Duclos,Fall River,MA,2720,BANK OF AMERICA NATL ASSOC,MA,235510,3/25/1997,1997,12,1,1,0,0,1,0,0,N,,9/30/1997,10000,P I F,0,10000,5000
1000704009,"WANAMAKERS MGMT., INC.",AKRON,OH,44303,U.S. BANK NATIONAL ASSOCIATION,OH,722410,2/28/1997,1997,120,5,1,0,0,1,0,N,Y,,6/30/1997,99963,P I F,0,99963,79970
1000705005,"Alan S. Budd D.M.D., P.C.",Boston,MA,2116,BANK OF AMERICA NATL ASSOC,RI,621210,3/26/1997,1997,12,1,1,0,0,1,0,0,N,,9/30/1997,25000,P I F,0,25000,12500
1000714001,HUGH GIBBONS PLUMBING AND HEAT,SWARTHMORE,PA,19081,"TD BANK, NATIONAL ASSOCIATION",PA,448130,2/28/1997,1997,42,2,1,0,0,1,0,N,Y,,3/31/1997,15000,P I F,0,15000,12000
1000715008,John Dailey,Castro Valley,CA,94546,WELLS FARGO BANK NATL ASSOC,SD,0,3/26/1997,1997,84,2,1,0,0,1,0,0,N,,5/31/1999,15000,P I F,0,15000,7500
1000724004,KR MENS CASUALS,PERRYSBURG,OH,43551,THE HUNTINGTON NATIONAL BANK,OH,0,2/28/1997,1997,96,1,2,0,0,1,0,N,Y,,3/31/1997,60000,P I F,0,60000,48000
1000725000,Lined Valve Company Inc.,Beaverton,OR,97008,WELLS FARGO BANK NATL ASSOC,SD,332911,3/28/1997,1997,84,3,1,0,0,1,0,0,N,,8/31/2002,25000,P I F,0,25000,12500
1000726007,NEW DIMENSION HOMES INC,CLINTON (CENSUS NAME FOR CLINT,ME,4927,WELLS FARGO BANK NATL ASSOC,SD,236115,2/7/2006,2006,167,9,1,0,9,1,1,0,N,26-Jun-14,2/28/2006,1350000,CHGOFF,1043508,1350000,1012500
1000734007,CREATIVE COMMUNICATION OF KANS,SHAWNEE MISSION,KS,66204,UNION BANK,MO,512110,2/28/1997,1997,84,5,1,0,0,1,0,N,Y,,4/30/1997,83711,P I F,0,86252,69002
1000735003,Mykols Marine Inc.,Spring Lake,MI,49417,WELLS FARGO BANK NATL ASSOC,SD,713930,3/31/1997,1997,7,10,1,0,0,1,0,0,N,4-Oct-05,2/28/1998,25000,CHGOFF,23484,25000,12500
1000745006,The Barber Agency Inc.,Greenville,NC,27858,WELLS FARGO BANK NATL ASSOC,SD,541810,3/28/1997,1997,84,8,1,0,0,1,0,0,N,,10/31/1997,10000,P I F,0,10000,5000
1000746002,ANGEL,LOS ANGELES,CA,60014,BBCN BANK,CA,315212,2/7/2006,2006,36,20,2,20,20,1,1,0,N,,2/28/2006,35000,P I F,0,35000,17500
1000754002,"MCCRANEY, INC.",SANTA ANA,CA,92703,BANK OF THE WEST,CA,0,2/28/1997,1997,300,50,1,0,0,1,0,0,N,,3/31/1997,745000,P I F,0,745000,558750
1000755009,Grass Valley Market,Grass Valley,OR,0,WELLS FARGO BANK NATL ASSOC,SD,0,3/31/1997,1997,37,7,1,0,0,1,0,0,N,1-Mar-02,2/28/1998,20000,CHGOFF,19653,20000,10000
1000756005,B&B DIPNETS,WASILLA,AK,99654,WELLS FARGO BANK NATL ASSOC,SD,314999,2/7/2006,2006,83,2,1,0,2,1,1,Y,N,,2/28/2006,78218,P I F,0,30000,15000
1000764005,"LABELLE MARIEE, INC.",KIRKLAND,WA,98033,BANK OF AMERICA NATL ASSOC,WA,448120,2/28/1997,1997,12,10,1,0,0,1,0,0,N,,12/31/1997,30000,P I F,0,30000,15000
1000766008,LILY DAY GARDENS,BURNET,TX,78611,WELLS FARGO BANK NATL ASSOC,SD,444220,2/7/2006,2006,26,4,2,1,5,1,2,Y,N,27-Jan-11,2/28/2006,60859,CHGOFF,19994,20000,10000
1000774008,"ACADEMIE DE BALLET, INC.",CHESAPEAKE,VA,23220,TIDEWATER BUS. FINANCING CORP,VA,0,2/28/1997,1997,240,18,1,10,0,1,0,N,N,,4/15/1998,183000,P I F,0,183000,183000
1000775004,Larry P. Occhipinti,Patterson,CA,95363,WELLS FARGO BANK NATL ASSOC,SD,541940,4/1/1997,1997,84,2,1,0,0,1,0,0,N,,10/31/1997,18107,P I F,0,20000,10000
1000785007,Baltazar Garza,Fresno,CA,93612,WELLS FARGO BANK NATL ASSOC,SD,811111,4/1/1997,1997,84,3,1,0,0,1,0,0,N,,8/31/2002,10000,P I F,0,10000,5000
1000786003,MICHAEL GADEKEN DDS PC,GRAND JUNCTION,CO,81506,WELLS FARGO BANK NATL ASSOC,SD,621210,2/7/2006,2006,264,9,1,0,9,1,1,0,N,,3/31/2006,1524200,P I F,0,1535000,1151250
1000794003,"STEVENSON PEST CONTROL, INC.",YUBA CITY,CA,95992,GOLDEN PACIFIC BANK NATL ASSOC,CA,0,2/28/1997,1997,60,3,1,0,0,1,0,N,N,,6/30/1997,40000,P I F,0,40000,32000
1000795010,Elie Baking Corp.,Lawrence,MA,1840,BANK OF AMERICA NATL ASSOC,NC,311812,4/2/1997,1997,60,9,1,0,0,1,0,0,N,,9/30/1997,100000,P I F,0,100000,50000
1000804004,"STEPHANIE DEVELOPMENT, L.L.C.",CANTON,MI,48390,BANK OF AMERICA NATL ASSOC,MI,0,2/28/1997,1997,72,1,2,0,0,1,0,0,N,,4/30/1997,384000,P I F,0,384000,288000
1000805000,"Regalia Bridal, Inc.",Boston,MA,2108,BANK OF AMERICA NATL ASSOC,MA,0,4/3/1997,1997,24,20,1,0,0,1,0,0,N,,9/30/1997,50000,P I F,0,50000,25000
1000815003,Robert's Realty of Victor Inc.,Victor,MT,59875,WELLS FARGO BANK NATL ASSOC,SD,0,4/3/1997,1997,84,1,1,0,0,1,2,0,N,,8/31/1997,25000,P I F,0,25000,12500
1000816010,TULON PACIFIC LLC,IRVINE,CA,92618,WELLS FARGO BANK NATL ASSOC,SD,423710,2/7/2006,2006,36,18,1,1,19,1,1,Y,N,,3/31/2006,577000,P I F,0,300000,150000
1000824010,AADVANTAGE INSURANCE & FINANCI,FORT WASHINGTON,PA,19034,UNITED BANK OF PHILADELPHIA,PA,524128,2/28/1997,1997,84,5,2,0,0,1,0,N,Y,,6/30/1998,35000,P I F,0,35000,28000
1000825006,W L R Inc.,Sheridan,WY,82801,WELLS FARGO BANK NATL ASSOC,SD,213112,4/3/1997,1997,84,1,1,0,0,1,0,0,N,,11/30/1997,10000,P I F,0,10000,5000
1000826002,GUADALAJARA DISTRIBUTORS,NORTH HILLS,CA,91343,BBCN BANK,CA,514199,2/7/2006,2006,84,1,2,0,1,1,1,0,N,,2/28/2006,5000,P I F,0,5000,4250
1000834002,"EXPRESSIONS HAIR, TANNING & NA",PEARL,MS,39208,TRUSTMARK NATIONAL BANK,MS,0,2/28/1997,1997,72,5,2,0,0,1,0,N,Y,,4/30/1997,22380,P I F,0,23000,18400
1000835009,"Birds Of A Feather, Inc.",Wilmington,MA,1887,BANK OF AMERICA NATL ASSOC,MA,0,4/4/1997,1997,12,3,1,0,0,1,0,0,N,,9/30/1997,100000,P I F,0,100000,50000
1000836005,URBAN BEAST-SEATTLE LLC,SEATTLE,WA,98109,U.S. BANK NATIONAL ASSOCIATION,OH,453910,2/7/2006,2006,5,1,2,3,4,1,1,0,N,24-May-10,8/31/2006,28090,CHGOFF,28090,28300,24055
1000844005,"WOODLAND PUBLISHING, INC",PLEASANT GROVE,UT,84062,MOUNTAIN W. SMALL BUS. FINAN,UT,323117,2/28/1997,1997,240,20,1,8,8,1,0,N,N,,6/11/1997,208000,P I F,0,208000,208000
1000845001,"The Software Workbench, Inc.",Manchester,NH,3101,BANK OF AMERICA NATL ASSOC,RI,0,4/4/1997,1997,60,4,1,0,0,1,0,0,N,,5/31/1997,44650,P I F,0,44650,22325
1000865007,"Squeegee Graphics, Inc.",Leicester (census name Leicest,MA,1611,BANK OF AMERICA NATL ASSOC,MA,0,4/7/1997,1997,12,4,1,0,0,1,0,0,N,,5/31/1997,25000,P I F,0,25000,12500
1000885002,Steve Trujillo,Pueblo,CO,81005,WELLS FARGO BANK NATL ASSOC,SD,0,4/7/1997,1997,84,3,1,0,0,1,0,0,N,,10/31/2000,7015,P I F,0,15000,7500
1000895005,C D Welch Jr.,Orangeburg,SC,29118,WELLS FARGO BANK NATL ASSOC,SD,0,4/7/1997,1997,84,3,1,0,0,1,0,0,N,,11/30/1997,14027,P I F,0,25000,12500
1000896001,SHAFI SECURITY,THORNTON,CO,80602,JPMORGAN CHASE BANK NATL ASSOC,IL,561612,2/7/2006,2006,54,4,1,8,4,1,2,Y,N,26-Sep-08,2/28/2006,76432,CHGOFF,28979,30000,15000
1000904010,"FOODETTE, THE",VINTON,VA,24179,"BUSINESS FINANCE GROUP, INC.",VA,0,2/28/1997,1997,240,17,1,10,0,1,0,N,N,,5/13/1998,357000,P I F,0,357000,357000
1000905006,Houssam Joudi,Redondo Beach,CA,90278,WELLS FARGO BANK NATL ASSOC,SD,0,4/7/1997,1997,84,1,1,0,0,1,0,0,N,,3/31/2000,25000,P I F,0,25000,12500
1000915009,Christian Hinderer,Waterville,WA,98858,WELLS FARGO BANK NATL ASSOC,SD,422720,4/8/1997,1997,84,7,1,0,0,1,0,0,N,,11/30/1997,4987,P I F,0,10000,5000
1000925001,Vincent Pilotta,Pittsburgh,PA,15214,WELLS FARGO BANK NATL ASSOC,SD,422810,4/8/1997,1997,84,2,1,0,0,1,0,0,N,,5/31/2000,20000,P I F,0,20000,10000
1000926008,TOUCHPOINTS MARKETING LLC,BELLE CHASSE,LA,70037,GULF COAST BK & TR CO,LA,541810,2/7/2006,2006,120,16,2,16,1,1,0,0,N,,2/28/2006,150000,P I F,0,150000,127500
1000935004,Hairline Inc.,Vancouver,WA,98663,WELLS FARGO BANK NATL ASSOC,SD,0,4/8/1997,1997,84,3,1,0,0,1,0,0,N,,2/28/1999,10000,P I F,0,10000,5000
1000944000,THE CAT'S MEOW,CEDAR RAPIDS,IA,52402,U.S. BANK NATIONAL ASSOCIATION,IA,451120,2/28/1997,1997,87,6,1,0,0,1,0,N,Y,,8/31/1997,46531,P I F,0,75000,60000
1000945007,James & Sheryl Brower,Clackamas,OR,97015,WELLS FARGO BANK NATL ASSOC,SD,421940,4/8/1997,1997,84,2,1,0,0,1,0,0,N,,10/31/1997,10000,P I F,0,10000,5000
1000965002,"KING'S GRANT RACQUET CLUB, INC",Cotuit,MA,2635,BANK OF AMERICA NATL ASSOC,MA,0,4/10/1997,1997,300,5,1,0,0,1,0,0,N,,6/30/1997,60000,P I F,0,60000,30000
1000975005,Garden Food Store,Garden Grove,CA,92844,WELLS FARGO BANK NATL ASSOC,SD,0,4/11/1997,1997,84,3,1,0,0,1,0,0,N,,9/30/1997,8820,P I F,0,10000,5000
1000985008,"KENNETH COTE SALON, INC.",PROVIDENCE,RI,2906,BANK OF AMERICA NATL ASSOC,NC,0,4/14/1997,1997,12,32,1,0,0,1,0,0,N,,10/31/1997,10000,P I F,0,10000,5000
1000995000,"E and V Oil Company, Inc.",Seekonk (Town of),MA,2771,BANK OF AMERICA NATL ASSOC,MA,454311,4/15/1997,1997,12,5,1,0,0,1,0,0,N,,1/31/1998,50000,P I F,0,50000,25000
1001005009,Valencia Liquor Store,Valencia,CA,91321,WELLS FARGO BANK NATL ASSOC,SD,445310,4/21/1997,1997,84,9,1,0,0,1,0,0,N,,11/30/1997,7085,P I F,0,25000,12500
1001015001,The Cheese Box,Moses Lake,WA,98837,WELLS FARGO BANK NATL ASSOC,SD,445310,4/21/1997,1997,84,6,1,0,0,1,0,0,N,1-Oct-02,2/28/1998,10000,CHGOFF,9161,10000,5000
1001024008,ROTHWELL LANDSCAPE,MANHATTAN,KS,66502,LANDMARK NATIONAL BANK,KS,0,2/28/1997,1997,84,5,2,0,0,1,0,N,Y,,3/31/1997,50000,P I F,0,50000,40000
1001025004,Spirit Aviation Services Ltd.,Kansas City,MO,64116,WELLS FARGO BANK NATL ASSOC,SD,0,4/28/1997,1997,84,5,1,0,0,1,0,0,N,,11/30/1997,20000,P I F,0,20000,10000
1001034000,CD WAREHOUSE,GREENWOOD,IN,46142,"PNC BANK, NATIONAL ASSOCIATION",IN,451220,2/28/1997,1997,66,2,2,0,0,10656,0,N,Y,,8/31/1997,60000,P I F,0,60000,48000
1001035007,"Design Built, Inc.",Narragansett (census name Narr,RI,2882,BANK OF AMERICA NATL ASSOC,NC,0,4/29/1997,1997,12,5,1,0,0,1,0,0,N,,6/30/1998,50000,P I F,0,50000,25000
1001044003,THE BIKEWAY SOURCE,MAYNARD,MA,1754,BANK OF AMERICA NATL ASSOC,NC,0,2/28/1997,1997,60,2,2,0,0,1,0,N,Y,,5/31/1997,45000,P I F,0,45000,36000
1001045010,"Water & Energy Systems, Inc.",Atkinson,NH,3811,BANK OF AMERICA NATL ASSOC,RI,0,5/1/1997,1997,12,3,1,0,0,1,0,0,N,,1/31/1998,22000,P I F,0,22000,11000
1001054006,"DAYS INN OF SOUTH BEND, L.P.",SOUTH BEND,IN,46637,"READYCAP LENDING, LLC",CA,0,3/3/1997,1997,161,20,2,0,0,22470,0,N,N,27-Sep-13,5/31/1997,2000000,CHGOFF,1311939,2000000,750000
1001055002,"Water & Energy Systems, Inc.",Atkinson,NH,3811,BANK OF AMERICA NATL ASSOC,RI,0,5/1/1997,1997,60,3,1,0,0,1,0,0,N,,2/28/1998,28000,P I F,0,28000,14000
1001064009,"HAIR SYSTEMS, LTD.",BALTIMORE,MD,21224,BANK OF AMERICA NATL ASSOC,NC,0,2/28/1997,1997,180,2,1,0,0,1,0,N,Y,,6/30/1997,98500,P I F,0,98500,78800
1001065005,Nice Arcadia Inc.,Arcadia,CA,91006,WELLS FARGO BANK NATL ASSOC,SD,0,5/2/1997,1997,84,4,1,0,0,1,0,0,N,,12/31/1997,10000,P I F,0,10000,5000
1001074001,RIPLEY'S FURNITURE,TIGARD,OR,97224,UMPQUA BANK,OR,0,2/28/1997,1997,60,31,1,0,0,1,0,N,N,,4/30/1997,450000,P I F,0,450000,337500
1001075008,"Atlantic Boats, Inc.",Wareham,MA,2571,BANK OF AMERICA NATL ASSOC,NC,441222,5/2/1997,1997,12,5,1,0,0,1,0,0,N,,5/31/1998,50000,P I F,0,50000,25000
1001084004,K.S.A. BEAUTY ACADEMY,JACKSON,MI,49201,"FIRSTMERIT BANK, N.A.",MI,0,2/28/1997,1997,240,3,2,0,0,1,0,N,Y,,6/30/1997,83000,P I F,0,83000,66400
1001085000,"City Farm, Inc.",Boston,MA,2131,BANK OF AMERICA NATL ASSOC,NC,453110,5/2/1997,1997,12,3,1,0,0,1,0,0,N,,9/30/1997,30000,P I F,0,30000,15000
1001094007,CHESAPEAKE BAGEL BAKERY,HUNTINGTON,WV,25701,THE HUNTINGTON NATIONAL BANK,WV,0,2/28/1997,1997,71,19,2,0,0,16267,0,N,N,1-Mar-01,5/31/1997,180000,CHGOFF,114857,180000,135000
1001095003,Eggs By Byrd,Wappapello,MO,0,WELLS FARGO BANK NATL ASSOC,SD,451120,5/2/1997,1997,4,3,1,0,0,1,0,0,N,1-Jan-02,8/31/1997,20000,CHGOFF,17869,20000,10000
1001105004,Good Earth Produce Inc.,Olney,MD,20832,WELLS FARGO BANK NATL ASSOC,SD,445230,5/5/1997,1997,84,20,1,0,0,1,0,0,N,,10/31/1997,50000,P I F,0,50000,25000
1001114000,"LARSON TRUCKING CO., INC.",MERIDIAN,ID,83642,WELLS FARGO BANK NATL ASSOC,SD,0,2/28/1997,1997,300,12,1,0,0,1,0,0,N,,2/29/2000,290000,P I F,0,290000,217500
1001115007,"Surfaceworks, Inc.",Watertown (Town of),MA,2172,BANK OF AMERICA NATL ASSOC,NC,0,5/6/1997,1997,12,3,1,0,0,1,0,0,N,,7/31/2000,10000,P I F,0,10000,5000
